,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
37,3.4759,3.5277,3.5556,3.4973,3.4796,3.421,3.3928,3.4505,3.4756,3.5363,3.5673,3.5004,3.4805,3.4133,3.3792,3.4492,3.4747
38,3.4793,3.5379,3.5639,3.5047,3.4836,3.4213,3.3913,3.4533,3.4781,3.5401,3.5766,3.5069,3.4846,3.4105,3.3758,3.4446,3.4771
39,3.4802,3.5401,3.5618,3.5001,3.4833,3.4238,3.395,3.4567,3.4793,3.5491,3.5751,3.5053,3.4855,3.4133,3.3823,3.4526,3.4802
40,3.4762,3.536,3.5574,3.497,3.4821,3.4188,3.395,3.4545,3.4768,3.5429,3.5695,3.4991,3.4821,3.4108,3.3807,3.4477,3.4762
41,3.4787,3.5354,3.5605,3.4982,3.4833,3.4204,3.395,3.4542,3.4787,3.5391,3.5723,3.5019,3.4815,3.4114,3.3804,3.4523,3.4774
42,3.4787,3.5323,3.5621,3.5007,3.4843,3.4185,3.3944,3.4551,3.4796,3.5463,3.5748,3.5038,3.4846,3.4111,3.3807,3.4517,3.4765
43,3.4818,3.5407,3.5689,3.5041,3.4861,3.4241,3.3934,3.4554,3.4812,3.5472,3.5816,3.5109,3.4874,3.4126,3.3776,3.4464,3.4812
44,3.4833,3.5398,3.5683,3.5053,3.4874,3.4235,3.3956,3.4579,3.483,3.5463,3.5816,3.5094,3.4883,3.417,3.3807,3.4502,3.4809
45,3.4824,3.5401,3.5664,3.5041,3.4858,3.4216,3.394,3.4579,3.4827,3.5472,3.5779,3.5075,3.4871,3.4126,3.3801,3.4514,3.4805
46,3.4861,3.5413,3.5745,3.5109,3.4911,3.426,3.3953,3.4604,3.4855,3.5553,3.5881,3.5119,3.4917,3.4204,3.3795,3.4523,3.4855
47,3.4852,3.5447,3.5729,3.5069,3.4902,3.4244,3.3937,3.4595,3.4846,3.5565,3.5869,3.51,3.4895,3.4117,3.3789,3.4548,3.4846
48,3.4877,3.5522,3.5782,3.5119,3.492,3.4254,3.394,3.4573,3.4874,3.5515,3.5909,3.5156,3.4923,3.4151,3.3773,3.4505,3.4864
49,3.4867,3.5475,3.5766,3.5106,3.4914,3.4281,3.3937,3.4576,3.4855,3.559,3.5912,3.5177,3.4923,3.4188,3.377,3.4536,3.4858
50,3.4858,3.5407,3.5726,3.5115,3.4908,3.4269,3.3971,3.4592,3.4858,3.5577,3.5844,3.5106,3.4898,3.4173,3.3829,3.4548,3.4861
51,3.4846,3.5447,3.5695,3.5063,3.4889,3.425,3.3987,3.4607,3.4836,3.5549,3.5825,3.51,3.4902,3.4117,3.3826,3.4548,3.4846
52,3.4864,3.5463,3.5766,3.5125,3.4911,3.4254,3.3947,3.4616,3.4861,3.5605,3.5903,3.5134,3.4914,3.4176,3.3792,3.4533,3.4864
53,3.4871,3.5491,3.5751,3.5131,3.4923,3.4278,3.3968,3.4582,3.4864,3.5574,3.5906,3.515,3.4926,3.4179,3.3801,3.4539,3.4874
54,3.4902,3.5466,3.5801,3.515,3.4923,3.4288,3.3953,3.4604,3.4889,3.563,3.5946,3.5187,3.4948,3.4142,3.3792,3.4542,3.488
55,3.4933,3.5577,3.5878,3.5193,3.4985,3.4316,3.3931,3.4613,3.4929,3.5695,3.603,3.5233,3.4991,3.4226,3.3764,3.4579,3.4929
56,3.4939,3.5565,3.5872,3.5212,3.4979,3.43,3.3953,3.4638,3.4929,3.5615,3.6011,3.5249,3.4991,3.4195,3.3785,3.4564,3.4933
57,3.4964,3.5602,3.5909,3.5224,3.5007,3.4316,3.3984,3.4663,3.4957,3.5723,3.6052,3.5258,3.501,3.4226,3.3804,3.4604,3.4951
58,3.4939,3.5608,3.5884,3.5212,3.4995,3.4294,3.3975,3.4657,3.4948,3.5618,3.6033,3.5261,3.4995,3.4188,3.381,3.4592,3.4923
59,3.4942,3.5605,3.5866,3.5193,3.4979,3.4309,3.3984,3.466,3.4895,3.5618,3.6005,3.5224,3.4967,3.4173,3.382,3.4613,3.4929
60,3.497,3.5642,3.5974,3.528,3.5016,3.4347,3.3928,3.4601,3.4967,3.5739,3.612,3.5317,3.5032,3.4247,3.3739,3.453,3.496
61,3.5041,3.5695,3.6052,3.5326,3.5094,3.4421,3.3984,3.4706,3.5035,3.5751,3.6197,3.5363,3.51,3.4257,3.3807,3.4629,3.5032
62,3.5078,3.5766,3.6104,3.5404,3.5131,3.4384,3.3996,3.4737,3.5072,3.5875,3.6266,3.5419,3.514,3.4325,3.3804,3.466,3.5072
63,3.5078,3.5754,3.6101,3.5394,3.5134,3.4406,3.4015,3.4728,3.5075,3.5856,3.6253,3.5416,3.514,3.4281,3.3823,3.461,3.5069
64,3.5088,3.5776,3.6083,3.5382,3.5143,3.4378,3.4037,3.4737,3.5081,3.5887,3.6247,3.5404,3.515,3.4309,3.3857,3.47,3.5084
65,3.5088,3.5748,3.6108,3.5394,3.5143,3.4402,3.4021,3.4768,3.5075,3.5853,3.6269,3.5432,3.5156,3.4285,3.3847,3.4669,3.5084
66,3.5112,3.5785,3.6154,3.5407,3.5171,3.4421,3.4033,3.4771,3.5112,3.5897,3.6312,3.5463,3.5177,3.4319,3.3844,3.4709,3.5103
67,3.5165,3.5804,3.6225,3.5487,3.5212,3.4471,3.4055,3.4818,3.5165,3.5987,3.639,3.5522,3.5233,3.4347,3.386,3.4747,3.5156
68,3.5187,3.5816,3.6241,3.5478,3.5239,3.4492,3.4064,3.4843,3.5181,3.6027,3.6399,3.5543,3.5246,3.4387,3.3882,3.4747,3.5181
69,3.5246,3.598,3.6321,3.5584,3.5298,3.453,3.4102,3.4849,3.5236,3.6095,3.6492,3.5633,3.5301,3.4421,3.3903,3.4793,3.5233
70,3.528,3.6005,3.6383,3.5611,3.5326,3.4573,3.4114,3.4849,3.5274,3.6092,3.656,3.5661,3.5348,3.4396,3.3913,3.4833,3.5274
71,3.5305,3.5993,3.6414,3.563,3.5376,3.4573,3.4161,3.492,3.5314,3.6176,3.6585,3.5714,3.5379,3.452,3.3959,3.4824,3.5317
72,3.5354,3.6015,3.6408,3.5661,3.5398,3.4623,3.4247,3.5032,3.5339,3.6213,3.6569,3.5701,3.5416,3.4536,3.4058,3.4954,3.5345
73,3.5295,3.598,3.6318,3.5584,3.5351,3.4604,3.4254,3.4985,3.5305,3.6142,3.6473,3.5602,3.5363,3.448,3.408,3.4923,3.5286
74,3.5388,3.6067,3.6442,3.5667,3.546,3.4691,3.4337,3.5106,3.5391,3.6232,3.6588,3.5717,3.5463,3.4576,3.4154,3.5038,3.5391
75,3.5401,3.6098,3.6411,3.5683,3.5463,3.4706,3.4347,3.5084,3.5394,3.6179,3.6597,3.572,3.5463,3.4623,3.4182,3.5032,3.5401
76,3.5453,3.6163,3.6483,3.5717,3.5509,3.4756,3.4384,3.5143,3.545,3.6244,3.665,3.5776,3.5509,3.4647,3.4201,3.5066,3.5453
77,3.5481,3.6197,3.6532,3.5782,3.5546,3.4762,3.4421,3.5177,3.5494,3.6356,3.6703,3.5822,3.5559,3.4641,3.4241,3.5112,3.5487
78,3.5509,3.6238,3.6563,3.5794,3.5574,3.4824,3.4452,3.5208,3.5509,3.6377,3.6721,3.5822,3.5577,3.4663,3.4263,3.519,3.5509
79,3.5534,3.6269,3.6604,3.5832,3.5602,3.4843,3.4464,3.5249,3.554,3.6414,3.6762,3.5869,3.5611,3.4703,3.4272,3.5181,3.5518
80,3.5562,3.6321,3.6635,3.5856,3.5624,3.483,3.4464,3.5258,3.5565,3.6461,3.6808,3.5906,3.5636,3.4725,3.4288,3.5224,3.5565
81,3.558,3.6331,3.6662,3.5869,3.5633,3.4861,3.4474,3.5258,3.5584,3.647,3.6836,3.59,3.5661,3.4709,3.4291,3.5233,3.5577
82,3.5587,3.6312,3.6687,3.5878,3.5649,3.484,3.4464,3.527,3.559,3.6486,3.6845,3.5909,3.5646,3.4706,3.4266,3.5236,3.5587
83,3.5661,3.6445,3.679,3.5956,3.572,3.4902,3.4514,3.5336,3.5652,3.6529,3.6957,3.6011,3.5729,3.4768,3.4306,3.5246,3.5652
84,3.572,3.6455,3.6864,3.6021,3.5788,3.4964,3.457,3.5398,3.5726,3.6635,3.7031,3.6067,3.5801,3.4824,3.4378,3.5332,3.5726
